pos;nombre;cnae;facturacion;municipio;ubicacion;domicilio_fiscal;confianza;fuente
1;BSH ELECTRODOMESTICOS ESPAÑA SA;2751;1.592.924.000;Zaragoza;Plantas de La Cartuja (Las Fuentes) y Montañana (centro mundial de inducción), término municipal de Zaragoza;;alta;enjoyzaragoza.es
2;ALLIANCE HEALTHCARE ESPAÑA SA;4646;1.472.286.000;Villanueva de Gállego;Pol. Ind. San Miguel, Sector IV, 50830;;alta;empresite
3;RIVASAM INTERCONTINENTAL SA;4632;1.280.659.180;Zuera;Pol. Ind. El Campillo (matadero de porcino), 50800;;alta;empresite
4;ESPRINET IBERICA SLU;4650;1.252.334.000;Zaragoza;Plataforma Logística PLAZA, C/ Osca 2, 50197;;alta;plazalogistica
5;SOCIEDAD ANONIMA INDUSTRIAS CELULOSA ARAGONESA (SAICA);1712;1.081.338.609;El Burgo de Ebro;"Pol. El Espartal (fábricas SAICA-2 y SAICA-3); sede y SAICA-1 en La Cartuja, Zaragoza";Zaragoza;alta;paper-world
6;ADIDAS ESPAÑA SAU;4642;682.195.806;Caspe;"Centro logístico Ctra. Alcañiz-Fraga s/n; sede admin. en PLAZA (Zaragoza)";Zaragoza;alta;paginasamarillas
7;CARNICAS CINCO VILLAS SA;0146;674.240.359;Ejea de los Caballeros;Pol. Ind. Valdeferrín, 50600;;alta;paginasamarillas
8;FUJIKURA AUTOMOTIVE EUROPE SAU;4650;499.155.845;Zaragoza;Sede Avda. de Ranillas 3, Ed. Dinamiza (plantas de producción en Rumanía/Marruecos);;alta;kompass
9;ADIENT SEATING SPAIN SL;2932;485.075.436;Pedrola;C/ General Motors 30, Pol. El Pradillo (planta JIT asientos), 50690;;alta;iberinform
10;CUARTE SL;0146;400.006.180;Zaragoza;Ctra. de Logroño km 9,2, Monzalbarba (Zaragoza);Zaragoza;media;iberinform
11;TRANS SESE SL;4941;387.445.978;Zaragoza;"Plataforma Logística PLAZA; complejo Grupo Sesé";;alta;empresite
12;NOVALTIA S.COOP.;4646;corporativa;Zaragoza;Ctra. Autovía de Huesca s/n, 50015 (almacén);;alta;einforma
13;SCHINDLER SA;2822;351.465.000;Zaragoza;Pol. Empresarium, Cartuja Baja, C/ Albardín 58;San Sebastián de los Reyes (Madrid);media;empresite
14;SAICA PACK SL;1721;317.617.178;El Burgo de Ebro;Pol. El Espartal I, Ctra. Castellón km 21;Zaragoza;media;papeleriahada
15;CARRERAS GRUPO LOGISTICO SA;4941;311.177.713;Zaragoza;Plataforma Logística PLAZA, C/ Messina 2;;alta;grupocarreras
